Job ID,Job Title,Organization,Salary,Location,Closing Date
222806,Court and Client Representative - permanent/temporary full-time positions (31),Ministry of the Attorney General,$29.53  - $34.75 Per Hour,"Bracebridge, Barrie, Markham, Newmarket, Central Region","Monday, November 25, 2024 11:59 pm EST"
222925,Court and Client Representative - permanent/temporary full-time positions (4),Ministry of the Attorney General,$29.53  - $34.75 Per Hour,"Kingston, Napanee, East Region","Monday, November 25, 2024 11:59 pm EST"
222722,Crown Counsel (1),Ministry of the Attorney General,Salary Commensurate With Legal Experience,"Toronto, Toronto Region","Monday, November 25, 2024 11:59 pm EST"
223212,Crown Counsel (1),Ministry of the Attorney General,Salary Commensurate With Legal Experience,"Toronto, Toronto Region","Friday, November 29, 2024 11:59 pm EST"
223149,Customer Care Representative (3),Ministry of Public and Business Service Delivery and Procurement,$28.81  - $33.40 Per Hour,"Fort Frances, Ignace, Sioux Lookout, North Region","Monday, November 25, 2024 11:59 pm EST"
223221,Deputy Director (1),Ministry of the Attorney General,"$202,633.00  - $256,928.00 Per Year","Guelph, West Region","Monday, November 25, 2024 11:59 pm EST"
223283,Executive Assistant to the ADM (1),Cabinet Office,"$92,920.00  - $135,056.00 Per Year","Toronto, Toronto Region","Monday, November 25, 2024 11:59 pm EST"
222656,Executive Assistant to the ADM (1),Ministry of Education,"$92,920.00  - $135,056.00 Per Year","Toronto, Toronto Region","Monday, November 25, 2024 11:59 pm EST"
220318,Information Technology Systems Officer (3),Ministry of Health,"$1,512.75  - $1,933.38 Per Week","Barrie, Central Region; Lindsay, Ottawa, East Region; North Bay, North Region","Monday, November 25, 2024 11:59 pm EST"
222459,Judicial Secretary/Assistant Trial Coordinator (1),Ministry of the Attorney General,$28.14  - $32.82 Per Hour,"Ottawa, East Region","Monday, November 25, 2024 11:59 pm EST"
223147,Team Lead (1),"Ministry of Labour, Immigration, Training and Skills Development","$88,496.00  - $128,625.00 Per Year","Kenora, North Bay, Sudbury, Sault Ste Marie, South Porcupine, Thunder Bay, North Region","Monday, November 25, 2024 11:59 pm EST"
223154,Team Lead (1),"Ministry of Labour, Immigration, Training and Skills Development","$88,496.00  - $128,625.00 Per Year","Toronto, Toronto Region","Monday, November 25, 2024 11:59 pm EST"
220767,Team Lead (1),"Ministry of Labour, Immigration, Training and Skills Development","$88,496.00  - $128,625.00 Per Year","London, West Region","Monday, November 25, 2024 11:59 pm EST"
223151,Team Lead (1),"Ministry of Labour, Immigration, Training and Skills Development","$88,496.00  - $128,625.00 Per Year","Belleville, Cornwall, Kingston, Ottawa, Pembroke, Peterborough, East Region","Monday, November 25, 2024 11:59 pm EST"
223156,Team Lead (1),"Ministry of Labour, Immigration, Training and Skills Development","$88,496.00  - $128,625.00 Per Year","Toronto, Toronto Region","Monday, November 25, 2024 11:59 pm EST"
222926,Technical/Business Consultant (1),Ministry of Transportation,"$1,628.82  - $2,104.14 Per Week","St Catharines, West Region","Monday, November 25, 2024 11:59 pm EST"
222996,Traffic Engineer (1),Ministry of Transportation,"$79,972.00  - $108,898.00 Per Year","London, West Region","Monday, December 2, 2024 11:59 pm EST"
223099,Amended - Project Clerk (1),Ontario Clean Water Agency,$25.32  - $29.24 Per Hour,"Lindsay, East Region","Friday, November 22, 2024 11:59 pm EST"
221201,Assignment Coordinator (1),Ministry of the Attorney General,$26.92  - $31.31 Per Hour,"Brampton, Central Region","Friday, November 22, 2024 11:59 pm EST"
222958,Assistant Health Care Manager (1),Ministry of the Solicitor General,"$82,217.00  - $121,155.00 Per Year","Sarnia, West Region","Monday, November 25, 2024 11:59 pm EST"
223491,Trial Coordinator - Bilingual (English/French) (1),Ministry of the Attorney General,$32.11  - $38.34 Per Hour,"Ottawa, East Region","Monday, December 2, 2024 11:59 pm EST"
223445,Administrative & Finance Coordinator (1),Legislative Assembly,Not Available,"Toronto, Toronto Region","Friday, November 29, 2024 11:59 pm EST"
220520,Administrative Assistant (2),Ministry of Natural Resources and Forestry,$26.92  - $31.31 Per Hour,"Peterborough, East Region; Sault Ste Marie, North Region","Friday, November 29, 2024 11:59 pm EST"
222774,Amended - Senior Planner (1),Ministry of Municipal Affairs and Housing,"$82,217.00  - $121,155.00 Per Year","Toronto, Toronto Region","Friday, November 29, 2024 11:59 pm EST"
